french,article,gender,english,context,context_en,search_terms
"maison","une","f","house","La maison est près de la rivière.","The house is near the river.","cozy suburban house"
"livre","un","m","book","Le livre est sur la table.","The book is on the table.","open book reading"
"argent","de l'","m","money","L'argent est dans le sac.","The money is in the bag.","cash currency coins"
"table","une","f","table","La table est en bois.","The table is made of wood.","wooden dining table"
"chaise","une","f","chair","La chaise est près de la fenêtre.","The chair is near the window.","modern chair furniture"
"fenêtre","une","f","window","La fenêtre est ouverte.","The window is open.","window view light"
"porte","une","f","door","La porte est fermée.","The door is closed.","wooden front door"
"lit","un","m","bed","Le lit est confortable.","The bed is comfortable.","comfortable bed bedroom"
"chaussure","une","f","shoe","La chaussure est sous la chaise.","The shoe is under the chair.","fashion shoe sneaker"
"chapeau","un","m","hat","Le chapeau est sur la tête.","The hat is on the head.","stylish hat cap"
"téléphone","un","m","phone","Le téléphone sonne.","The phone is ringing.","smartphone mobile screen"
"jardin","un","m","garden","Le jardin est plein de fleurs.","The garden is full of flowers.","green garden flowers"
"ordinateur","un","m","computer","L'ordinateur est sur le bureau.","The computer is on the desk.","laptop computer desk"
"clé","une","f","key","La clé est dans ma poche.","The key is in my pocket.","metal house key"
"sac","un","m","bag","Son sac est sous la chaise.","Her bag is under the chair.","everyday bag backpack"
"verre","un","m","glass","Le verre est plein d'eau.","The glass is full of water.","glass of water"
"assiette","une","f","plate","L'assiette est sur la table.","The plate is on the table.","plate dining table"
"montre","une","f","watch","Ma montre indique trois heures.","My watch shows three o'clock.","wristwatch showing time"
"chemise","une","f","shirt","Il porte une chemise blanche.","He wears a white shirt.","white shirt clothing"
"lampe","une","f","lamp","La lampe éclaire la chambre.","The lamp lights the bedroom.","lamp lighting bedroom"
