homme | un | m | man | L'homme marche dans la rue. | The man walks in the street.
femme | une | f | woman | La femme lit un livre. | The woman reads a book.
enfant | un | m | child | L'enfant joue dans le jardin. | The child plays in the garden.
personne | une | f | person | La personne attend le bus. | The person waits for the bus.
ami | un | m | friend | Mon ami arrive ce soir. | My friend arrives tonight.
famille | une | f | family | La famille mange ensemble. | The family eats together.
maison | une | f | house | La maison est près de la rivière. | The house is near the river.
voiture | une | f | car | La voiture est devant la maison. | The car is in front of the house.
ville | une | f | city | La ville est très grande. | The city is very big.
pays | un | m | country | Ce pays est magnifique. | This country is magnificent.
rue | une | f | street | La rue est calme le matin. | The street is quiet in the morning.
école | une | f | school | L'école ouvre à huit heures. | The school opens at eight o'clock.
travail | un | m | work/job | Il va au travail en voiture. | He goes to work by car.
livre | un | m | book | Le livre est sur la table. | The book is on the table.
main | une | f | hand | Elle lève la main. | She raises her hand.
tête | une | f | head | Il tourne la tête. | He turns his head.
œil | un | m | eye | L'enfant ferme un œil. | The child closes one eye.
visage | un | m | face | Son visage est souriant. | His face is smiling.
jour | un | m | day | Le jour commence tôt. | The day starts early.
nuit | une | f | night | La nuit est calme. | The night is calm.
eau | une | f | water | L'eau est froide. | The water is cold.
pain | un | m | bread | Le pain est sur la table. | The bread is on the table.
café | un | m | coffee | Je bois un café. | I am drinking a coffee.
vin | un | m | wine | Le vin est dans le verre. | The wine is in the glass.
argent | de l' | m | money | L'argent est dans le sac. | The money is in the bag.
chien | un | m | dog | Le chien court dans le parc. | The dog runs in the park.
chat | un | m | cat | Le chat dort sur le canapé. | The cat sleeps on the sofa.
oiseau | un | m | bird | L'oiseau chante le matin. | The bird sings in the morning.
arbre | un | m | tree | L'arbre est très grand. | The tree is very big.
fleur | une | f | flower | La fleur est rouge. | The flower is red.
table | une | f | table | La table est en bois. | The table is made of wood.
chaise | une | f | chair | La chaise est près de la fenêtre. | The chair is near the window.
fenêtre | une | f | window | La fenêtre est ouverte. | The window is open.
porte | une | f | door | La porte est fermée. | The door is closed.
lit | un | m | bed | Le lit est confortable. | The bed is comfortable.
pomme | une | f | apple | La pomme est sur la table. | The apple is on the table.
fromage | un | m | cheese | Le fromage est délicieux. | The cheese is delicious.
œuf | un | m | egg | L'œuf est dans la poêle. | The egg is in the pan.
chaussure | une | f | shoe | La chaussure est sous la chaise. | The shoe is under the chair.
chapeau | un | m | hat | Le chapeau est sur la tête. | The hat is on the head.
vélo | un | m | bicycle | Le vélo est dans le garage. | The bicycle is in the garage.
téléphone | un | m | phone | Le téléphone sonne. | The phone is ringing.
montagne | une | f | mountain | La montagne est enneigée. | The mountain is snowy.
mer | une | f | sea | La mer est calme aujourd'hui. | The sea is calm today.
soleil | un | m | sun | Le soleil brille ce matin. | The sun is shining this morning.
pluie | une | f | rain | La pluie tombe fort. | The rain is falling hard.
pied | un | m | foot | Il marche sur un pied. | He is walking on one foot.
nez | un | m | nose | Elle se mouche le nez. | She is blowing her nose.
bouche | une | f | mouth | Il ouvre la bouche. | He opens his mouth.
jardin | un | m | garden | Le jardin est plein de fleurs. | The garden is full of flowers.
