french,article,gender,english,context,context_en,search_terms
"eau","une","f","water","L'eau est froide.","The water is cold.","clear water splash"
"pain","un","m","bread","Le pain est sur la table.","The bread is on the table.","fresh baked bread"
"café","un","m","coffee","Je bois un café.","I am drinking a coffee.","cup of coffee"
"vin","un","m","wine","Le vin est dans le verre.","The wine is in the glass.","glass of wine"
"pomme","une","f","apple","La pomme est sur la table.","The apple is on the table.","fresh red apple"
"fromage","un","m","cheese","Le fromage est délicieux.","The cheese is delicious.","artisan cheese slice"
"œuf","un","m","egg","L'œuf est dans la poêle.","The egg is in the pan.","fresh chicken eggs"
"lait","un","m","milk","Je bois du lait le matin.","I drink milk in the morning.","milk"
"thé","un","m","tea","Elle prend un thé après le déjeuner.","She has tea after lunch.","cup of tea"
"jus","un","m","juice","Il boit un jus d'orange.","He drinks orange juice.","glass orange juice"
"viande","une","f","meat","La viande cuit dans la poêle.","The meat cooks in the pan.","meat cooking pan"
"poulet","un","m","chicken","Nous mangeons du poulet rôti.","We eat roast chicken.","roast chicken meal"
"riz","un","m","rice","Le riz accompagne le poisson.","The rice goes with the fish.","cooked rice bowl"
"repas","un","m","meal","Le repas est prêt.","The meal is ready.","meal dinner table"
"légume","un","m","vegetable","Ce légume vient du jardin.","This vegetable comes from the garden.","fresh vegetables garden"
"fruit","un","m","fruit","Je mange un fruit au goûter.","I eat a piece of fruit for a snack.","fresh mixed fruit"
"banane","une","f","banana","La banane est mûre.","The banana is ripe.","ripe yellow banana"
"orange","une","f","orange","Elle épluche une orange.","She peels an orange.","fresh orange fruit"
"beurre","un","m","butter","Il met du beurre sur le pain.","He puts butter on the bread.","butter on bread"
"sucre","un","m","sugar","Je mets du sucre dans mon café.","I put sugar in my coffee.","sugar coffee spoon"
