french,article,gender,english,context,context_en,search_terms
"jour","un","m","day","Le jour commence tôt.","The day starts early.","bright daylight sunny"
"nuit","une","f","night","La nuit est calme.","The night is calm.","night sky stars"
"arbre","un","m","tree","L'arbre est très grand.","The tree is very big.","large green tree"
"fleur","une","f","flower","La fleur est rouge.","The flower is red.","blooming flower petal"
"montagne","une","f","mountain","La montagne est enneigée.","The mountain is snowy.","snowy mountain peak"
"mer","une","f","sea","La mer est calme aujourd'hui.","The sea is calm today.","ocean blue sea"
"soleil","un","m","sun","Le soleil brille ce matin.","The sun is shining this morning.","bright sun sunshine"
"pluie","une","f","rain","La pluie tombe fort.","The rain is falling hard.","raindrops falling window"
"ciel","un","m","sky","Le ciel est bleu aujourd'hui.","The sky is blue today.","blue sky clouds"
"nuage","un","m","cloud","Un nuage cache le soleil.","A cloud hides the sun.","cloud covering sun"
"vent","un","m","wind","Le vent souffle très fort.","The wind blows very hard.","strong wind trees"
"neige","une","f","snow","La neige couvre la montagne.","The snow covers the mountain.","snow covered mountain"
"rivière","une","f","river","La rivière traverse la ville.","The river crosses the city.","river through city"
"lac","un","m","lake","Le lac est calme ce matin.","The lake is calm this morning.","calm lake morning"
"forêt","une","f","forest","Nous marchons dans la forêt.","We walk in the forest.","green forest trail"
"champ","un","m","field","Le cheval court dans le champ.","The horse runs in the field.","green field countryside"
"matin","un","m","morning","Le matin commence avec un café.","The morning starts with coffee.","morning coffee sunrise"
"soir","un","m","evening","Nous regardons un film le soir.","We watch a movie in the evening.","evening sunset home"
"semaine","une","f","week","La semaine passe rapidement.","The week passes quickly.","weekly calendar schedule"
"année","une","f","year","Cette année commence bien.","This year is starting well.","year calendar celebration"
