french,article,gender,english,context,context_en,search_terms
"voiture","une","f","car","La voiture est devant la maison.","The car is in front of the house.","modern car vehicle"
"ville","une","f","city","La ville est très grande.","The city is very big.","city skyline urban"
"pays","un","m","country","Ce pays est magnifique.","This country is magnificent.","landscape countryside nature"
"rue","une","f","street","La rue est calme le matin.","The street is quiet in the morning.","city street road"
"école","une","f","school","L'école ouvre à huit heures.","The school opens at eight o'clock.","school building classroom"
"travail","un","m","work/job","Il va au travail en voiture.","He goes to work by car.","office desk working"
"vélo","un","m","bicycle","Le vélo est dans le garage.","The bicycle is in the garage.","bicycle parked street"
"bureau","un","m","office","Son bureau est au deuxième étage.","Her office is on the second floor.","modern office workplace"
"magasin","un","m","store","Le magasin ferme à dix-neuf heures.","The store closes at seven p.m.","store shop exterior"
"restaurant","un","m","restaurant","Nous dînons au restaurant.","We have dinner at the restaurant.","restaurant dining room"
"hôpital","un","m","hospital","L'hôpital se trouve près du centre-ville.","The hospital is near downtown.","hospital building exterior"
"gare","une","f","train station","Le train arrive à la gare.","The train arrives at the station.","train station platform"
"aéroport","un","m","airport","Nous allons à l'aéroport en taxi.","We go to the airport by taxi.","airport terminal travel"
"parc","un","m","park","Les enfants jouent dans le parc.","The children play in the park.","city park children"
"plage","une","f","beach","La plage est pleine en été.","The beach is crowded in summer.","summer beach seaside"
"route","une","f","road","La route traverse la forêt.","The road crosses the forest.","road through forest"
"train","un","m","train","Le train part à huit heures.","The train leaves at eight o'clock.","passenger train station"
"bus","un","m","bus","Je prends le bus chaque matin.","I take the bus every morning.","city bus transport"
"avion","un","m","airplane","L'avion vole au-dessus des nuages.","The airplane flies above the clouds.","airplane above clouds"
"métro","un","m","subway","Le métro est rapide et pratique.","The subway is fast and convenient.","metro subway train"
