french,article,gender,english,context,context_en,search_terms
"amour","un","m","love","L'amour est important dans la vie.","Love is important in life.","love heart couple"
"bonheur","un","m","happiness","Le bonheur se trouve dans les petites choses.","Happiness is found in small things.","happiness smiling joyful"
"liberté","une","f","freedom","La liberté est une valeur essentielle.","Freedom is an essential value.","freedom open sky"
"paix","une","f","peace","Tout le monde souhaite la paix.","Everyone wishes for peace.","peace dove calm"
"peur","une","f","fear","La peur disparaît peu à peu.","The fear gradually disappears.","fear dark shadow"
"joie","une","f","joy","Sa visite apporte beaucoup de joie.","Her visit brings a lot of joy.","joy laughing celebration"
"tristesse","une","f","sadness","La tristesse se lit sur son visage.","The sadness shows on his face.","sadness person alone"
"espoir","un","m","hope","Il garde espoir malgré les difficultés.","He keeps hope despite the difficulties.","hope sunrise horizon"
"idée","une","f","idea","J'ai une bonne idée.","I have a good idea.","idea light bulb"
"pensée","une","f","thought","Cette pensée me fait sourire.","This thought makes me smile.","thought thinking person"
"rêve","un","m","dream","Son rêve est de voyager.","His dream is to travel.","dream travel imagination"
"vie","une","f","life","La vie change rapidement.","Life changes quickly.","life journey nature"
"temps","un","m","time","Le temps passe vite.","Time passes quickly.","time clock passing"
"chance","une","f","luck","Nous avons beaucoup de chance.","We are very lucky.","good luck clover"
"courage","un","m","courage","Il faut du courage pour commencer.","It takes courage to begin.","courage mountain challenge"
"force","une","f","strength","Elle trouve la force de continuer.","She finds the strength to continue.","strength determination"
"problème","un","m","problem","Nous cherchons une solution au problème.","We are looking for a solution to the problem.","problem solving puzzle"
"question","une","f","question","L'étudiant pose une question.","The student asks a question.","question mark student"
"réponse","une","f","answer","Je connais la réponse.","I know the answer.","answer check mark"
"vérité","une","f","truth","Il veut connaître la vérité.","He wants to know the truth.","truth honesty concept"
