french,article,gender,english,context,context_en,search_terms
"homme","un","m","man","L'homme marche dans la rue.","The man walks in the street.","man portrait person"
"femme","une","f","woman","La femme lit un livre.","The woman reads a book.","woman portrait person"
"enfant","un","m","child","L'enfant joue dans le jardin.","The child plays in the garden.","child kid playing"
"personne","une","f","person","La personne attend le bus.","The person waits for the bus.","standing person portrait"
"ami","un","m","friend","Mon ami arrive ce soir.","My friend arrives tonight.","smiling friends group"
"famille","une","f","family","La famille mange ensemble.","The family eats together.","happy family together"
"mère","une","f","mother","Ma mère prépare le dîner.","My mother prepares dinner.","mother cooking at home"
"père","un","m","father","Mon père travaille à la maison.","My father works at home.","father working at home"
"frère","un","m","brother","Mon frère joue au football.","My brother plays soccer.","brother playing soccer"
"sœur","une","f","sister","Ma sœur habite à Paris.","My sister lives in Paris.","sister young woman portrait"
"parent","un","m","parent","Chaque parent attend devant l'école.","Each parent waits outside the school.","parent waiting at school"
"bébé","un","m","baby","Le bébé dort dans son lit.","The baby sleeps in its bed.","sleeping baby crib"
"garçon","un","m","boy","Le garçon court dans le parc.","The boy runs in the park.","boy running park"
"fille","une","f","girl","La fille dessine un chat.","The girl draws a cat.","girl drawing picture"
"couple","un","m","couple","Le couple se promène au bord de la mer.","The couple walks by the sea.","couple walking seaside"
"voisin","un","m","neighbor","Mon voisin arrose ses fleurs.","My neighbor waters his flowers.","neighbor watering flowers"
"collègue","un","m","coworker","Mon collègue arrive à neuf heures.","My coworker arrives at nine o'clock.","coworker office portrait"
"professeur","un","m","teacher","Le professeur explique la leçon.","The teacher explains the lesson.","teacher classroom lesson"
"étudiant","un","m","student","L'étudiant lit à la bibliothèque.","The student reads at the library.","student reading library"
"client","un","m","customer","Le client paie à la caisse.","The customer pays at the checkout.","customer paying checkout"
