french,article,gender,english,context,context_en,search_terms
"chien","un","m","dog","Le chien court dans le parc.","The dog runs in the park.","cute dog puppy"
"chat","un","m","cat","Le chat dort sur le canapé.","The cat sleeps on the sofa.","cute cat kitten"
"oiseau","un","m","bird","L'oiseau chante le matin.","The bird sings in the morning.","flying bird wildlife"
"poisson","un","m","fish","Le poisson nage dans l'eau.","The fish swims in the water.","fish swimming underwater"
"cheval","un","m","horse","Le cheval court dans le champ.","The horse runs in the field.","horse running field"
"vache","une","f","cow","La vache mange de l'herbe.","The cow eats grass.","cow eating grass pasture"
"cochon","un","m","pig","Le cochon vit à la ferme.","The pig lives on the farm.","pig farm animal"
"mouton","un","m","sheep","Le mouton a de la laine blanche.","The sheep has white wool.","white sheep wool"
"poule","une","f","hen","La poule pond un œuf.","The hen lays an egg.","hen chicken egg farm"
"canard","un","m","duck","Le canard nage sur le lac.","The duck swims on the lake.","duck swimming lake"
"lapin","un","m","rabbit","Le lapin mange une carotte.","The rabbit eats a carrot.","rabbit eating carrot"
"souris","une","f","mouse","La souris se cache sous la table.","The mouse hides under the table.","small mouse hiding"
"lion","un","m","lion","Le lion se repose au soleil.","The lion rests in the sun.","lion resting sunlight"
"éléphant","un","m","elephant","L'éléphant boit avec sa trompe.","The elephant drinks with its trunk.","elephant drinking trunk"
"singe","un","m","monkey","Le singe grimpe dans l'arbre.","The monkey climbs the tree.","monkey climbing tree"
"ours","un","m","bear","L'ours marche dans la forêt.","The bear walks in the forest.","bear walking forest"
"loup","un","m","wolf","Le loup vit dans la montagne.","The wolf lives in the mountains.","wolf mountain wildlife"
"requin","un","m","shark","Le requin nage dans la mer.","The shark swims in the sea.","shark swimming ocean"
"papillon","un","m","butterfly","Le papillon se pose sur la fleur.","The butterfly lands on the flower.","butterfly on flower"
"abeille","une","f","bee","L'abeille vole près des fleurs.","The bee flies near the flowers.","bee flying flowers"
