infinitive,group,english,context,context_en,search_terms
"être","3","to be","Elle est heureuse aujourd'hui.","She is happy today.","happy woman smiling"
"avoir","3","to have","J'ai une grande famille.","I have a big family.","large family together"
"faire","3","to do / to make","Il fait un gâteau pour son anniversaire.","He is making a cake for his birthday.","man making birthday cake"
"aller","3","to go","Nous allons à l'école à pied.","We are going to school on foot.","people walking to school"
"pouvoir","3","can / to be able to","Elle peut ouvrir la porte.","She can open the door.","woman opening door"
"vouloir","3","to want","Je veux une tasse de café.","I want a cup of coffee.","person wanting coffee"
"devoir","3","must / to have to","Il doit prendre le bus.","He has to take the bus.","man boarding city bus"
"savoir","3","to know","Elle sait nager.","She knows how to swim.","woman swimming pool"
"dire","3","to say / to tell","Il dit bonjour à son voisin.","He says hello to his neighbor.","neighbors greeting each other"
"voir","3","to see","Je vois la montagne au loin.","I see the mountain in the distance.","person looking at mountain"
"venir","3","to come","Mes amis viennent chez moi ce soir.","My friends are coming to my house tonight.","friends arriving at house"
"prendre","3","to take","Elle prend une photo du paysage.","She takes a picture of the landscape.","woman taking landscape photo"
"donner","1","to give","Le professeur donne un livre à l'étudiant.","The teacher gives a book to the student.","teacher giving book student"
"parler","1","to speak / to talk","Nous parlons français ensemble.","We speak French together.","friends speaking together"
"aimer","1","to like / to love","Elle aime lire dans le jardin.","She likes reading in the garden.","woman reading in garden"
"passer","1","to pass / to spend","Ils passent la journée à la plage.","They spend the day at the beach.","friends spending day beach"
"mettre","3","to put","Il met les clés sur la table.","He puts the keys on the table.","hand putting keys table"
"demander","1","to ask","L'étudiant demande de l'aide.","The student asks for help.","student asking teacher help"
"trouver","1","to find","Elle trouve ses clés dans son sac.","She finds her keys in her bag.","woman finding keys bag"
"comprendre","3","to understand","Il comprend la question.","He understands the question.","student understanding question"
"manger","1","to eat","L'homme mange un sandwich.","The man eats a sandwich.","man eating sandwich"
"regarder","1","to watch / to look at","Nous regardons un film ce soir.","We are watching a movie tonight.","family watching movie"
"écouter","1","to listen to","Elle écoute de la musique.","She listens to music.","woman listening to music"
"travailler","1","to work","Il travaille dans un bureau.","He works in an office.","man working office"
"acheter","1","to buy","J'achète du pain à la boulangerie.","I buy bread at the bakery.","person buying bread bakery"
"utiliser","1","to use","Elle utilise son ordinateur.","She uses her computer.","woman using computer"
"jouer","1","to play","Les enfants jouent dans le parc.","The children play in the park.","children playing park"
"commencer","1","to begin / to start","Le cours commence à neuf heures.","The class starts at nine o'clock.","class beginning classroom"
"porter","1","to wear / to carry","Il porte une chemise blanche.","He is wearing a white shirt.","man wearing white shirt"
"arriver","1","to arrive","Le train arrive à la gare.","The train arrives at the station.","train arriving station"
"finir","2","to finish","Elle finit son travail à cinq heures.","She finishes her work at five o'clock.","woman finishing work"
"choisir","2","to choose","Il choisit une chemise bleue.","He chooses a blue shirt.","man choosing blue shirt"
"réussir","2","to succeed","L'étudiante réussit son examen.","The student passes her exam.","student passing exam"
"remplir","2","to fill","Je remplis mon verre d'eau.","I fill my glass with water.","filling glass water"
"grandir","2","to grow up","Les enfants grandissent vite.","Children grow up quickly.","children growing up"
"réfléchir","2","to think / to reflect","Nous réfléchissons à la question.","We think about the question.","people thinking question"
"obéir","2","to obey","Le chien obéit à son maître.","The dog obeys its owner.","dog obeying owner"
"applaudir","2","to applaud","Le public applaudit les musiciens.","The audience applauds the musicians.","audience applauding musicians"
"agir","2","to act","Il agit rapidement pour aider son ami.","He acts quickly to help his friend.","man helping friend quickly"
"rougir","2","to blush / to turn red","Elle rougit quand on lui parle.","She blushes when someone speaks to her.","woman blushing portrait"
"partir","3","to leave","Nous partons tôt le matin.","We leave early in the morning.","people leaving home morning"
"sortir","3","to go out / to exit","Elle sort du magasin.","She leaves the store.","woman leaving store"
"dormir","3","to sleep","Le bébé dort dans son lit.","The baby sleeps in its bed.","sleeping baby bed"
"lire","3","to read","Il lit un livre dans le jardin.","He reads a book in the garden.","man reading book garden"
"écrire","3","to write","Elle écrit une lettre à son amie.","She writes a letter to her friend.","woman writing letter"
"boire","3","to drink","Je bois un verre d'eau.","I drink a glass of water.","person drinking water"
"connaître","3","to know / to be familiar with","Nous connaissons bien cette ville.","We know this city well.","people exploring familiar city"
"croire","3","to believe","Il croit son ami.","He believes his friend.","friends talking trust"
"attendre","3","to wait","Elle attend le bus devant l'école.","She waits for the bus outside the school.","woman waiting bus stop"
"répondre","3","to answer","L'étudiant répond à la question.","The student answers the question.","student answering question"
